"","year","gear","julian","fish","CU_no","CU","prob"
"383",1985,"Fish Wheel",211,48,68,"Teslin",0.001
"384",1985,"Fish Wheel",211,48,69,"UpperYR",0
"385",1985,"Fish Wheel",211,49,76,"NYR",0
"386",1985,"Fish Wheel",211,49,75,"White",0
"387",1985,"Fish Wheel",211,49,74,"Stew",0.0211
"388",1985,"Fish Wheel",211,49,72,"Pelly",0.019
"389",1985,"Fish Wheel",211,49,71,"Norden",0
"390",1985,"Fish Wheel",211,49,73,"MidYR",0.9102
"391",1985,"Fish Wheel",211,49,68,"Teslin",0.0478
"392",1985,"Fish Wheel",211,49,69,"UpperYR",0.0017
"393",1985,"Fish Wheel",212,50,76,"NYR",0
"394",1985,"Fish Wheel",212,50,75,"White",0
"395",1985,"Fish Wheel",212,50,74,"Stew",0.0014
"396",1985,"Fish Wheel",212,50,72,"Pelly",9e-04
"397",1985,"Fish Wheel",212,50,71,"Norden",0
"398",1985,"Fish Wheel",212,50,73,"MidYR",0.0256
"399",1985,"Fish Wheel",212,50,68,"Teslin",0.9721
"400",1985,"Fish Wheel",212,50,69,"UpperYR",0
"401",1985,"Fish Wheel",212,51,76,"NYR",0.0367
"402",1985,"Fish Wheel",212,51,75,"White",0
"403",1985,"Fish Wheel",212,51,74,"Stew",0.7816
"404",1985,"Fish Wheel",212,51,72,"Pelly",0.0393
"405",1985,"Fish Wheel",212,51,71,"Norden",0
"406",1985,"Fish Wheel",212,51,73,"MidYR",0.1408
"407",1985,"Fish Wheel",212,51,68,"Teslin",0.0014
"408",1985,"Fish Wheel",212,51,69,"UpperYR",0
"409",1985,"Fish Wheel",212,52,76,"NYR",0
"410",1985,"Fish Wheel",212,52,75,"White",0
"411",1985,"Fish Wheel",212,52,74,"Stew",0.0051
"412",1985,"Fish Wheel",212,52,72,"Pelly",0
"413",1985,"Fish Wheel",212,52,71,"Norden",0
"414",1985,"Fish Wheel",212,52,73,"MidYR",0.299
"415",1985,"Fish Wheel",212,52,68,"Teslin",0.6959
"416",1985,"Fish Wheel",212,52,69,"UpperYR",0
"417",1985,"Fish Wheel",212,53,76,"NYR",0
"418",1985,"Fish Wheel",212,53,75,"White",0
"419",1985,"Fish Wheel",212,53,74,"Stew",0.0545
"420",1985,"Fish Wheel",212,53,72,"Pelly",0.0022
"421",1985,"Fish Wheel",212,53,71,"Norden",0
"422",1985,"Fish Wheel",212,53,73,"MidYR",0.9289
"423",1985,"Fish Wheel",212,53,68,"Teslin",2e-04
"424",1985,"Fish Wheel",212,53,69,"UpperYR",0.0142
"425",1985,"Fish Wheel",212,54,76,"NYR",0
"426",1985,"Fish Wheel",212,54,75,"White",0
"427",1985,"Fish Wheel",212,54,74,"Stew",0.0014
"428",1985,"Fish Wheel",212,54,72,"Pelly",1e-04
"429",1985,"Fish Wheel",212,54,71,"Norden",0
"430",1985,"Fish Wheel",212,54,73,"MidYR",0.0016
"431",1985,"Fish Wheel",212,54,68,"Teslin",0.9969
"432",1985,"Fish Wheel",212,54,69,"UpperYR",0
"433",1985,"Fish Wheel",212,55,76,"NYR",0
"434",1985,"Fish Wheel",212,55,75,"White",0
"435",1985,"Fish Wheel",212,55,74,"Stew",0
"436",1985,"Fish Wheel",212,55,72,"Pelly",3e-04
"437",1985,"Fish Wheel",212,55,71,"Norden",0
"438",1985,"Fish Wheel",212,55,73,"MidYR",0.9995
"439",1985,"Fish Wheel",212,55,68,"Teslin",2e-04
"440",1985,"Fish Wheel",212,55,69,"UpperYR",0
"441",1985,"Fish Wheel",212,56,76,"NYR",0
"442",1985,"Fish Wheel",212,56,75,"White",0.0089
"443",1985,"Fish Wheel",212,56,74,"Stew",0.4888
"444",1985,"Fish Wheel",212,56,72,"Pelly",0.5018
"445",1985,"Fish Wheel",212,56,71,"Norden",0
"446",1985,"Fish Wheel",212,56,73,"MidYR",2e-04
"447",1985,"Fish Wheel",212,56,68,"Teslin",3e-04
"448",1985,"Fish Wheel",212,56,69,"UpperYR",0
"449",1985,"Fish Wheel",212,57,76,"NYR",0.0024
"450",1985,"Fish Wheel",212,57,75,"White",0.863
"451",1985,"Fish Wheel",212,57,74,"Stew",0
"452",1985,"Fish Wheel",212,57,72,"Pelly",0.1319
"453",1985,"Fish Wheel",212,57,71,"Norden",0
"454",1985,"Fish Wheel",212,57,73,"MidYR",9e-04
"455",1985,"Fish Wheel",212,57,68,"Teslin",0.0017
"456",1985,"Fish Wheel",212,57,69,"UpperYR",0
"457",1985,"Fish Wheel",212,58,76,"NYR",0
"458",1985,"Fish Wheel",212,58,75,"White",6e-04
"459",1985,"Fish Wheel",212,58,74,"Stew",0.0023
"460",1985,"Fish Wheel",212,58,72,"Pelly",0.0126
"461",1985,"Fish Wheel",212,58,71,"Norden",0
"462",1985,"Fish Wheel",212,58,73,"MidYR",0.9835
